ID, Word, DocID
366, anxious, 1 2 3 4 11
367, anybodi, 10 11
368, anyon, 10 11 12 13
369, anyth, 1 2 3 4 9 10 11 12
370, anywher, 4 9 11
371, aonian, 13
372, apac, 6 7 16
373, apart, 5 8 10 13
374, apathi, 13
375, ape, 6 7 15
376, apish, 7
377, apocalyps, 14
378, apolog, 15
379, apost, 13 14 15
380, apostasi, 15
381, apostl, 16
382, appaid, 16
383, appar, 14 16
384, apparatu, 11 12
385, apparel, 6 7
386, apparit, 15 16
387, appeal, 3 9 12
388, appear, 2 3 6 8 9 10 11 12 13 14 15 16
389, appeard, 13
390, appeas, 13 14 16
391, appendix, 9 12
392, appertain, 15 16
393, appet, 16
394, appetit, 14 15 16
395, appl, 1 9 12 15 16
396, applaud, 14
397, applaus, 4 5 13 14 16
398, appli, 6 9 10 11 12 14 15 16
399, applic, 9 10 11 12
400, appoint, 5 13 14 15 16
401, appreci, 9 12
402, apprehend, 14 15 16
403, apprehens, 15 16
404, approach, 6 8 9 10 11 12 13 14 15 16
405, approachd, 8
406, appropri, 9 10 11 12 16
407, approv, 11 14 15 16
408, approxim, 9 10 11 12
409, april, 7 11
410, apt, 12 15
411, apter, 7 14
412, aquacultur, 10
413, aquina, 9
414, arabi, 14
415, arabian, 13
416, arabl, 16
417, aram, 13
418, arbit, 13 15
419, arbitr, 13 15
420, arbitrari, 11 13
421, arbitress, 13
422, arbor, 14
423, arboret, 15
424, arbour, 14 15
425, arcadian, 16
426, arcana, 9
427, arch, 3 13 14 15 16
428, archaeolog, 9
429, archangel, 13
430, archbishop, 1
431, architect, 13 14 15 16
432, architectur, 9 10 11 12
433, architrav, 13
434, archiv, 9 10 11 12
435, archivist, 9
436, arctic, 13
437, arden, 5 6
438, ardent, 15
439, ardour, 14 15
440, area, 9 10 11 12
441, arena, 10 11
442, argent, 13
443, argest, 16
444, argo, 13
445, argob, 13
446, argu, 2 9 10 11 12 13 14 15 16
447, arguabl, 11
448, argument, 1 3 5 6 9 11 12 13 14 15 16
449, ari, 16
450, ariel, 14
451, aright, 14 16
452, arimaspian, 13
